name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
The Lord of the Rings: The Two Towers,PG-13,Action,2002,"December 18, 2002 (United States)",8.7,1500000.0,Peter Jackson,J.R.R. Tolkien,Elijah Wood,New Zealand,94000000.0,947495095.0,New Line Cinema,179.0
Road to Perdition,R,Crime,2002,"July 12, 2002 (United States)",7.7,253000.0,Sam Mendes,Max Allan Collins,Tom Hanks,United States,80000000.0,181001478.0,Dreamworks Pictures,117.0
Resident Evil,R,Action,2002,"March 15, 2002 (United States)",6.7,254000.0,Paul W.S. Anderson,Paul W.S. Anderson,Milla Jovovich,United Kingdom,33000000.0,102984862.0,Constantin Film,100.0
Catch Me If You Can,PG-13,Biography,2002,"December 25, 2002 (United States)",8.1,866000.0,Steven Spielberg,Jeff Nathanson,Leonardo DiCaprio,United States,52000000.0,352114312.0,Dreamworks Pictures,141.0
28 Days Later...,R,Drama,2002,"June 27, 2003 (United States)",7.6,386000.0,Danny Boyle,Alex Garland,Cillian Murphy,United Kingdom,8000000.0,85720385.0,DNA Films,113.0
City of God,R,Crime,2002,"February 13, 2004 (United States)",8.6,714000.0,Fernando Meirelles,Paulo Lins,Alexandre Rodrigues,Brazil,,30680793.0,O2 Filmes,130.0
Irreversible,Not Rated,Crime,2002,"May 24, 2002 (France)",7.4,124000.0,Gaspar Noé,Gaspar Noé,Monica Bellucci,France,,6479328.0,120 Films,97.0
The Ring,PG-13,Horror,2002,"October 18, 2002 (United States)",7.1,328000.0,Gore Verbinski,Ehren Kruger,Naomi Watts,United States,48000000.0,249348933.0,Dreamworks Pictures,115.0
Signs,PG-13,Drama,2002,"August 2, 2002 (United States)",6.7,344000.0,M. Night Shyamalan,M. Night Shyamalan,Mel Gibson,United States,72000000.0,408247917.0,Touchstone Pictures,106.0
The Bourne Identity,PG-13,Action,2002,"June 14, 2002 (United States)",7.9,519000.0,Doug Liman,Tony Gilroy,Franka Potente,United States,60000000.0,214034224.0,Universal Pictures,119.0
Star Wars: Episode II - Attack of the Clones,PG,Action,2002,"May 16, 2002 (United States)",6.5,658000.0,George Lucas,George Lucas,Hayden Christensen,United States,115000000.0,653779970.0,Lucasfilm,142.0
Scooby-Doo,PG,Adventure,2002,"June 14, 2002 (United States)",5.1,103000.0,Raja Gosnell,James Gunn,Matthew Lillard,United States,84000000.0,275650703.0,Warner Bros.,86.0
Reign of Fire,PG-13,Action,2002,"July 12, 2002 (United States)",6.2,129000.0,Rob Bowman,Gregg Chabot,Matthew McConaughey,United States,60000000.0,82150183.0,Touchstone Pictures,101.0
Minority Report,PG-13,Action,2002,"June 21, 2002 (United States)",7.6,519000.0,Steven Spielberg,Philip K. Dick,Tom Cruise,United States,102000000.0,358372926.0,Twentieth Century Fox,145.0
Austin Powers in Goldmember,PG-13,Action,2002,"July 26, 2002 (United States)",6.2,199000.0,Jay Roach,Mike Myers,Mike Myers,United States,63000000.0,296938801.0,New Line Cinema,94.0
Red Dragon,R,Crime,2002,"October 4, 2002 (United States)",7.2,259000.0,Brett Ratner,Thomas Harris,Anthony Hopkins,Germany,78000000.0,209196298.0,Universal Pictures,124.0
Gangs of New York,R,Crime,2002,"December 20, 2002 (United States)",7.5,415000.0,Martin Scorsese,Jay Cocks,Leonardo DiCaprio,United States,100000000.0,193772504.0,Miramax,167.0
Sweet Home Alabama,PG-13,Comedy,2002,"September 27, 2002 (United States)",6.2,105000.0,Andy Tennant,Douglas J. Eboch,Reese Witherspoon,United States,30000000.0,180622424.0,Touchstone Pictures,108.0
The Count of Monte Cristo,PG-13,Action,2002,"January 25, 2002 (United States)",7.7,132000.0,Kevin Reynolds,Alexandre Dumas,Jim Caviezel,United Kingdom,35000000.0,75395048.0,Touchstone Pictures,131.0
Adaptation.,R,Comedy,2002,"February 14, 2003 (United States)",7.7,183000.0,Spike Jonze,Susan Orlean,Nicolas Cage,United States,19000000.0,32801173.0,Beverly Detroit,115.0
Ice Age,PG,Animation,2002,"March 15, 2002 (United States)",7.5,452000.0,Chris Wedge,Michael J. Wilson,Denis Leary,United States,59000000.0,383257136.0,Twentieth Century Fox,81.0
Panic Room,R,Crime,2002,"March 29, 2002 (United States)",6.8,266000.0,David Fincher,David Koepp,Jodie Foster,United States,48000000.0,197079546.0,Columbia Pictures,112.0
Insomnia,R,Drama,2002,"May 24, 2002 (United States)",7.2,281000.0,Christopher Nolan,Hillary Seitz,Al Pacino,United States,46000000.0,113758770.0,Alcon Entertainment,118.0
Men in Black II,PG-13,Action,2002,"July 3, 2002 (United States)",6.2,351000.0,Barry Sonnenfeld,Lowell Cunningham,Tommy Lee Jones,United States,140000000.0,445135288.0,Columbia Pictures,88.0
Lilo & Stitch,PG,Animation,2002,"June 21, 2002 (United States)",7.3,174000.0,Dean DeBlois,Chris Sanders,Daveigh Chase,United States,80000000.0,273144151.0,Walt Disney Pictures,92.0
Chicago,PG-13,Comedy,2002,"January 24, 2003 (United States)",7.2,220000.0,Rob Marshall,Bill Condon,Renée Zellweger,United States,45000000.0,306776732.0,Miramax,113.0
A Walk to Remember,PG,Drama,2002,"January 25, 2002 (United States)",7.3,203000.0,Adam Shankman,Nicholas Sparks,Mandy Moore,United States,11800000.0,47494916.0,Warner Bros.,101.0
Treasure Planet,PG,Animation,2002,"November 27, 2002 (United States)",7.2,107000.0,Ron Clements,Robert Louis Stevenson,Joseph Gordon-Levitt,United States,140000000.0,110041363.0,Walt Disney Animation Studios,95.0
My Big Fat Greek Wedding,PG,Comedy,2002,"August 2, 2002 (United States)",6.6,122000.0,Joel Zwick,Nia Vardalos,Nia Vardalos,Canada,5000000.0,368744044.0,Gold Circle Films,95.0
We Were Soldiers,R,Action,2002,"March 1, 2002 (United States)",7.2,133000.0,Randall Wallace,Harold G. Moore,Mel Gibson,United States,75000000.0,115374915.0,Icon Entertainment International,138.0
xXx,PG-13,Action,2002,"August 9, 2002 (United States)",5.9,175000.0,Rob Cohen,Rich Wilkes,Vin Diesel,United States,70000000.0,277448382.0,Revolution Studios,124.0
Equilibrium,R,Action,2002,"December 6, 2002 (United States)",7.4,316000.0,Kurt Wimmer,Kurt Wimmer,Christian Bale,United States,20000000.0,5368217.0,Dimension Films,107.0
The Scorpion King,PG-13,Action,2002,"April 19, 2002 (United States)",5.5,133000.0,Chuck Russell,Stephen Sommers,Dwayne Johnson,United States,60000000.0,180630907.0,Universal Pictures,92.0
Punch-Drunk Love,R,Comedy,2002,"November 1, 2002 (United States)",7.3,152000.0,Paul Thomas Anderson,Paul Thomas Anderson,Adam Sandler,United States,25000000.0,24675714.0,New Line Cinema,95.0
Die Another Day,PG-13,Action,2002,"November 22, 2002 (United States)",6.1,209000.0,Lee Tamahori,Ian Fleming,Pierce Brosnan,United Kingdom,142000000.0,431971116.0,Eon Productions,133.0
The Time Machine,PG-13,Action,2002,"March 8, 2002 (United States)",6.0,120000.0,Simon Wells,H.G. Wells,Guy Pearce,United States,80000000.0,123729176.0,Warner Bros.,96.0
Bend It Like Beckham,PG-13,Comedy,2002,"August 1, 2003 (United States)",6.6,106000.0,Gurinder Chadha,Gurinder Chadha,Parminder Nagra,United Kingdom,,76585828.0,Kintop Pictures,112.0
The Transporter,PG-13,Action,2002,"October 11, 2002 (United States)",6.8,290000.0,Louis Leterrier,Luc Besson,Jason Statham,France,21000000.0,43928932.0,EuropaCorp,92.0
Van Wilder,R,Comedy,2002,"April 5, 2002 (United States)",6.4,105000.0,Walt Becker,Brent Goldberg,Ryan Reynolds,Germany,5000000.0,38275483.0,Myriad Pictures,92.0
Blade II,R,Action,2002,"March 22, 2002 (United States)",6.7,204000.0,Guillermo del Toro,Marv Wolfman,Wesley Snipes,Germany,54000000.0,155010032.0,New Line Cinema,117.0
Phone Booth,R,Crime,2002,"April 4, 2003 (United States)",7.0,255000.0,Joel Schumacher,Larry Cohen,Colin Farrell,United States,13000000.0,97837138.0,Fox 2000 Pictures,81.0
About a Boy,PG-13,Comedy,2002,"May 17, 2002 (United States)",7.1,176000.0,Chris Weitz,Nick Hornby,Hugh Grant,United Kingdom,30000000.0,130549455.0,Universal Pictures,101.0
Hero,PG-13,Action,2002,"August 27, 2004 (United States)",7.9,176000.0,Yimou Zhang,Feng Li,Jet Li,China,31000000.0,177395557.0,Edko Films,120.0
The Hours,PG-13,Drama,2002,"February 14, 2003 (United States)",7.5,127000.0,Stephen Daldry,Michael Cunningham,Meryl Streep,United States,25000000.0,108846072.0,Paramount Pictures,110.0
One Hour Photo,R,Drama,2002,"September 13, 2002 (United States)",6.8,117000.0,Mark Romanek,Mark Romanek,Robin Williams,United States,12000000.0,52223306.0,Fox Searchlight Pictures,96.0
Mr. Deeds,PG-13,Comedy,2002,"June 28, 2002 (United States)",5.8,138000.0,Steven Brill,Clarence Budington Kelland,Adam Sandler,United States,50000000.0,171269535.0,Columbia Pictures,96.0
John Q,PG-13,Crime,2002,"February 15, 2002 (United States)",7.1,127000.0,Nick Cassavetes,James Kearns,Denzel Washington,United States,36000000.0,102244770.0,New Line Cinema,116.0
25th Hour,R,Drama,2002,"January 10, 2003 (United States)",7.6,172000.0,Spike Lee,David Benioff,Edward Norton,United States,5000000.0,23932055.0,25th Hour Productions,135.0
Infernal Affairs,R,Action,2002,"December 12, 2002 (Hong Kong)",8.0,120000.0,Andrew Lau,Alan Mak,Andy Lau,Hong Kong,6428966.0,8836958.0,Media Asia Films,101.0
Two Weeks Notice,PG-13,Comedy,2002,"December 20, 2002 (United States)",6.1,111000.0,Marc Lawrence,Marc Lawrence,Sandra Bullock,United States,60000000.0,199043471.0,Castle Rock Entertainment,101.0
About Schmidt,R,Comedy,2002,"January 3, 2003 (United States)",7.1,124000.0,Alexander Payne,Louis Begley,Jack Nicholson,United States,30000000.0,105834556.0,New Line Cinema,125.0
Talk to Her,R,Drama,2002,"February 14, 2003 (United States)",7.9,106000.0,Pedro Almodóvar,Pedro Almodóvar,Rosario Flores,Spain,,64790996.0,El Deseo,112.0
Kill Bill: Vol. 1,R,Action,2003,"October 10, 2003 (United States)",8.1,1000000.0,Quentin Tarantino,Quentin Tarantino,Uma Thurman,United States,30000000.0,180906076.0,Miramax,111.0
Pirates of the Caribbean: the Curse of the Black Pearl,PG-13,Action,2003,"July 9, 2003 (United States)",8.0,1000000.0,Gore Verbinski,Ted Elliott,Johnny Depp,United States,140000000.0,654264015.0,Walt Disney Pictures,143.0
The Lord of the Rings: The Return of the King,PG-13,Action,2003,"December 17, 2003 (United States)",8.9,1700000.0,Peter Jackson,J.R.R. Tolkien,Elijah Wood,New Zealand,94000000.0,1146030912.0,New Line Cinema,201.0
Old School,R,Comedy,2003,"February 21, 2003 (United States)",7.1,219000.0,Todd Phillips,Court Crandall,Luke Wilson,United States,24000000.0,87135520.0,Dreamworks Pictures,88.0
Mystic River,R,Crime,2003,"October 15, 2003 (United States)",7.9,430000.0,Clint Eastwood,Brian Helgeland,Sean Penn,United States,25000000.0,156595191.0,Warner Bros.,138.0
Love Actually,R,Comedy,2003,"November 14, 2003 (United States)",7.6,444000.0,Richard Curtis,Richard Curtis,Hugh Grant,United Kingdom,40000000.0,245203167.0,Universal Pictures,135.0
The Life of David Gale,R,Crime,2003,"February 21, 2003 (United States)",7.5,114000.0,Alan Parker,Charles Randolph,Kevin Spacey,United States,38000000.0,38955598.0,Universal Pictures,130.0
2 Fast 2 Furious,PG-13,Action,2003,"June 6, 2003 (United States)",5.9,259000.0,John Singleton,Gary Scott Thompson,Paul Walker,United States,76000000.0,236350661.0,Universal Pictures,107.0
Underworld,R,Action,2003,"September 19, 2003 (United States)",7.0,258000.0,Len Wiseman,Kevin Grevioux,Kate Beckinsale,United States,22000000.0,95708457.0,Lakeshore Entertainment,121.0
Oldboy,R,Action,2003,"November 21, 2003 (South Korea)",8.4,532000.0,Park Chan-Wook,Garon Tsuchiya,Choi Min-sik,South Korea,3000000.0,15189934.0,Show East,120.0
Lost in Translation,R,Comedy,2003,"October 3, 2003 (United States)",7.7,426000.0,Sofia Coppola,Sofia Coppola,Bill Murray,United States,4000000.0,118686937.0,Focus Features,102.0
Big Fish,PG-13,Adventure,2003,"January 9, 2004 (United States)",8.0,422000.0,Tim Burton,Daniel Wallace,Ewan McGregor,United States,70000000.0,123218424.0,Columbia Pictures,125.0
The Matrix Reloaded,R,Action,2003,"May 15, 2003 (United States)",7.2,529000.0,Lana Wachowski,Lilly Wachowski,Keanu Reeves,United States,150000000.0,741847937.0,Warner Bros.,138.0
The Dreamers,NC-17,Drama,2003,"February 20, 2004 (United States)",7.2,114000.0,Bernardo Bertolucci,Gilbert Adair,Michael Pitt,United Kingdom,15000000.0,24152155.0,Recorded Picture Company (RPC),115.0
Memories of Murder,Not Rated,Crime,2003,"May 2, 2003 (South Korea)",8.1,152000.0,Bong Joon Ho,Bong Joon Ho,Kang-ho Song,South Korea,2800000.0,1162593.0,CJ Entertainment,132.0
Finding Nemo,G,Animation,2003,"May 30, 2003 (United States)",8.1,972000.0,Andrew Stanton,Andrew Stanton,Albert Brooks,United States,94000000.0,940352645.0,Pixar Animation Studios,100.0
Hulk,PG-13,Action,2003,"June 20, 2003 (United States)",5.6,255000.0,Ang Lee,Stan Lee,Eric Bana,United States,137000000.0,245285165.0,Universal Pictures,138.0
School of Rock,PG-13,Comedy,2003,"October 3, 2003 (United States)",7.1,283000.0,Richard Linklater,Mike White,Jack Black,United States,35000000.0,131095990.0,Paramount Pictures,109.0
Wrong Turn,R,Horror,2003,"May 30, 2003 (United States)",6.1,113000.0,Rob Schmidt,Alan B. McElroy,Eliza Dushku,Canada,12600000.0,28650575.0,Summit Entertainment,84.0
The Italian Job,PG-13,Action,2003,"May 30, 2003 (United States)",7.0,350000.0,F. Gary Gray,Troy Kennedy-Martin,Donald Sutherland,United States,60000000.0,176070171.0,Paramount Pictures,111.0
Terminator 3: Rise of the Machines,R,Action,2003,"July 2, 2003 (United States)",6.3,383000.0,Jonathan Mostow,John Brancato,Arnold Schwarzenegger,United States,200000000.0,433371112.0,C-2 Pictures,109.0
Monster,R,Biography,2003,"January 30, 2004 (United States)",7.3,140000.0,Patty Jenkins,Patty Jenkins,Charlize Theron,United States,8000000.0,58469210.0,Media 8 Entertainment,109.0
The Matrix Revolutions,R,Action,2003,"November 5, 2003 (United States)",6.7,459000.0,Lana Wachowski,Lilly Wachowski,Keanu Reeves,United States,150000000.0,427344325.0,Warner Bros.,129.0
Daredevil,PG-13,Action,2003,"February 14, 2003 (United States)",5.3,209000.0,Mark Steven Johnson,Mark Steven Johnson,Ben Affleck,United States,78000000.0,179179718.0,Marvel Enterprises,103.0
Master and Commander: the Far Side of the World,PG-13,Action,2003,"November 14, 2003 (United States)",7.4,208000.0,Peter Weir,Patrick O'Brian,Russell Crowe,United States,150000000.0,211622535.0,Twentieth Century Fox,138.0
The Texas Chainsaw Massacre,R,Crime,2003,"October 17, 2003 (United States)",6.2,133000.0,Marcus Nispel,Kim Henkel,Jessica Biel,United States,9500000.0,107363905.0,New Line Cinema,98.0
S.W.A.T.,PG-13,Action,2003,"August 8, 2003 (United States)",6.0,141000.0,Clark Johnson,Robert Hamner,Samuel L. Jackson,United States,80000000.0,207725639.0,Columbia Pictures,117.0
The Last Samurai,R,Action,2003,"December 5, 2003 (United States)",7.7,409000.0,Edward Zwick,John Logan,Tom Cruise,United States,140000000.0,454627263.0,Warner Bros.,154.0
X2: X-Men United,PG-13,Action,2003,"May 2, 2003 (United States)",7.4,521000.0,Bryan Singer,Zak Penn,Patrick Stewart,United States,110000000.0,407711549.0,Twentieth Century Fox,134.0
The Rundown,PG-13,Action,2003,"September 26, 2003 (United States)",6.7,103000.0,Peter Berg,R.J. Stewart,Dwayne Johnson,United States,85000000.0,80981914.0,Columbia Pictures,104.0
Identity,R,Mystery,2003,"April 25, 2003 (United States)",7.3,233000.0,James Mangold,Michael Cooney,John Cusack,United States,28000000.0,90259536.0,Columbia Pictures,90.0
Once Upon a Time in Mexico,R,Action,2003,"September 12, 2003 (United States)",6.4,156000.0,Robert Rodriguez,Robert Rodriguez,Antonio Banderas,United States,29000000.0,98769390.0,Columbia Pictures,102.0
Cold Mountain,R,Adventure,2003,"December 25, 2003 (United States)",7.2,142000.0,Anthony Minghella,Charles Frazier,Jude Law,United States,79000000.0,173013509.0,Miramax,154.0
Scary Movie 3,PG-13,Comedy,2003,"October 24, 2003 (United States)",5.5,140000.0,David Zucker,Craig Mazin,Anna Faris,United States,48000000.0,220673217.0,Dimension Films,84.0
How to Lose a Guy in 10 Days,PG-13,Comedy,2003,"February 7, 2003 (United States)",6.4,218000.0,Donald Petrie,Michele Alexander,Kate Hudson,United States,50000000.0,177502387.0,Lynda Obst Productions,116.0
The League of Extraordinary Gentlemen,PG-13,Action,2003,"July 11, 2003 (United States)",5.8,171000.0,Stephen Norrington,Alan Moore,Sean Connery,United States,78000000.0,179265204.0,Angry Films,110.0
Bad Boys II,R,Action,2003,"July 18, 2003 (United States)",6.6,237000.0,Michael Bay,George Gallo,Will Smith,United States,130000000.0,273339556.0,Columbia Pictures,147.0
Freddy vs. Jason,R,Action,2003,"August 15, 2003 (United States)",5.7,113000.0,Ronny Yu,Wes Craven,Robert Englund,Canada,30000000.0,116632628.0,New Line Cinema,97.0
Bruce Almighty,PG-13,Comedy,2003,"May 23, 2003 (United States)",6.7,380000.0,Tom Shadyac,Steve Koren,Jim Carrey,United States,81000000.0,484592874.0,Spyglass Entertainment,101.0
Dogville,R,Crime,2003,"April 23, 2004 (United States)",8.0,141000.0,Lars von Trier,Lars von Trier,Nicole Kidman,Denmark,10000000.0,16689283.0,Zentropa Entertainments,178.0
Elf,PG,Adventure,2003,"November 7, 2003 (United States)",7.0,235000.0,Jon Favreau,David Berenbaum,Will Ferrell,United States,33000000.0,223853736.0,New Line Cinema,97.0
Freaky Friday,PG,Comedy,2003,"August 6, 2003 (United States)",6.2,129000.0,Mark Waters,Mary Rodgers,Jamie Lee Curtis,United States,20000000.0,160846332.0,Casual Friday Productions,97.0
Charlie's Angels: Full Throttle,PG-13,Action,2003,"June 27, 2003 (United States)",4.9,123000.0,McG,Ivan Goff,Drew Barrymore,United States,120000000.0,259175788.0,Columbia Pictures,106.0
Anger Management,PG-13,Comedy,2003,"April 11, 2003 (United States)",6.2,207000.0,Peter Segal,David Dorfman,Jack Nicholson,United States,75000000.0,195745823.0,Revolution Studios,106.0
Something's Gotta Give,PG-13,Comedy,2003,"December 12, 2003 (United States)",6.7,115000.0,Nancy Meyers,Nancy Meyers,Jack Nicholson,United States,80000000.0,265328738.0,Columbia Pictures,128.0
Brother Bear,G,Animation,2003,"November 1, 2003 (United States)",6.8,101000.0,Aaron Blaise,Tab Murphy,Joaquin Phoenix,United States,128000000.0,250397798.0,Walt Disney Animation Studios,85.0
Tears of the Sun,R,Action,2003,"March 7, 2003 (United States)",6.6,115000.0,Antoine Fuqua,Alex Lasker,Bruce Willis,United States,75000000.0,86468162.0,Cheyenne Enterprises,121.0
Final Destination 2,R,Horror,2003,"January 31, 2003 (United States)",6.2,156000.0,David R. Ellis,J. Mackye Gruber,A.J. Cook,United States,26000000.0,90941129.0,New Line Cinema,90.0
21 Grams,R,Crime,2003,"January 16, 2004 (United States)",7.6,228000.0,Alejandro G. Iñárritu,Guillermo Arriaga,Sean Penn,United States,20000000.0,60427839.0,This Is That Productions,124.0
Johnny English,PG,Action,2003,"July 18, 2003 (United States)",6.2,152000.0,Peter Howitt,Neal Purvis,Rowan Atkinson,United Kingdom,40000000.0,160466000.0,Universal Pictures,87.0
Matchstick Men,PG-13,Comedy,2003,"September 12, 2003 (United States)",7.3,126000.0,Ridley Scott,Eric Garcia,Nicolas Cage,United States,62000000.0,65565672.0,Warner Bros.,116.0
American Wedding,R,Comedy,2003,"August 1, 2003 (United States)",6.3,198000.0,Jesse Dylan,Adam Herz,Jason Biggs,United States,55000000.0,232722935.0,Universal Pictures,96.0
Lara Croft Tomb Raider: The Cradle of Life,PG-13,Action,2003,"July 25, 2003 (United States)",5.6,132000.0,Jan de Bont,Dean Georgaris,Angelina Jolie,United States,95000000.0,160099222.0,Paramount Pictures,117.0
Shanghai Knights,PG-13,Action,2003,"February 7, 2003 (United States)",6.2,102000.0,David Dobkin,Alfred Gough,Jackie Chan,United States,50000000.0,88323487.0,Touchstone Pictures,114.0
Paycheck,PG-13,Action,2003,"December 25, 2003 (United States)",6.3,105000.0,John Woo,Philip K. Dick,Ben Affleck,United States,60000000.0,117248958.0,Paramount Pictures,119.0
Good Bye Lenin!,R,Comedy,2003,"May 14, 2004 (United States)",7.7,140000.0,Wolfgang Becker,Bernd Lichtenberg,Daniel Brühl,Germany,,79316957.0,X-Filme Creative Pool,121.0
Gothika,R,Horror,2003,"November 21, 2003 (United States)",5.8,108000.0,Mathieu Kassovitz,Sebastian Gutierrez,Halle Berry,United States,40000000.0,141591324.0,Columbia Pictures,98.0
Bad Santa,R,Comedy,2003,"November 26, 2003 (United States)",7.0,137000.0,Terry Zwigoff,Glenn Ficarra,Billy Bob Thornton,Germany,23000000.0,76490720.0,Columbia Pictures,92.0
The Recruit,PG-13,Action,2003,"January 31, 2003 (United States)",6.6,131000.0,Roger Donaldson,Roger Towne,Al Pacino,United States,46000000.0,101191884.0,Touchstone Pictures,115.0
The Girl Next Door,R,Comedy,2004,"April 9, 2004 (United States)",6.7,208000.0,Luke Greenfield,David Wagner,Emile Hirsch,United States,25000000.0,30381722.0,New Regency Productions,109.0
EuroTrip,R,Comedy,2004,"February 20, 2004 (United States)",6.6,200000.0,Jeff Schaffer,Alec Berg,Scott Mechlowicz,United States,25000000.0,22605153.0,Dreamworks Pictures,92.0
Dodgeball: A True Underdog Story,PG-13,Comedy,2004,"June 18, 2004 (United States)",6.7,235000.0,Rawson Marshall Thurber,Rawson Marshall Thurber,Ben Stiller,United States,20000000.0,168423227.0,Twentieth Century Fox,92.0
White Chicks,PG-13,Comedy,2004,"June 23, 2004 (United States)",5.6,135000.0,Keenen Ivory Wayans,Keenen Ivory Wayans,Marlon Wayans,United States,37000000.0,113100873.0,Revolution Studios,109.0
Mean Girls,PG-13,Comedy,2004,"April 30, 2004 (United States)",7.0,347000.0,Mark Waters,Rosalind Wiseman,Lindsay Lohan,United States,17000000.0,130126277.0,Paramount Pictures,97.0
Harry Potter and the Prisoner of Azkaban,PG,Adventure,2004,"June 4, 2004 (United States)",7.9,570000.0,Alfonso Cuarón,J.K. Rowling,Daniel Radcliffe,United Kingdom,130000000.0,797361618.0,Warner Bros.,142.0
Troy,R,Drama,2004,"May 14, 2004 (United States)",7.2,500000.0,Wolfgang Petersen,Homer,Brad Pitt,United States,175000000.0,497409852.0,Warner Bros.,163.0
Eternal Sunshine of the Spotless Mind,R,Drama,2004,"March 19, 2004 (United States)",8.3,935000.0,Michel Gondry,Charlie Kaufman,Jim Carrey,United States,20000000.0,74036715.0,Focus Features,108.0
Kill Bill: Vol. 2,R,Action,2004,"April 16, 2004 (United States)",8.0,702000.0,Quentin Tarantino,Quentin Tarantino,Uma Thurman,United States,30000000.0,154118820.0,Miramax,137.0
The Notebook,PG-13,Drama,2004,"June 25, 2004 (United States)",7.8,534000.0,Nick Cassavetes,Jeremy Leven,Gena Rowlands,United States,29000000.0,117815157.0,New Line Cinema,123.0
The Terminal,PG-13,Comedy,2004,"June 18, 2004 (United States)",7.4,421000.0,Steven Spielberg,Andrew Niccol,Tom Hanks,United States,60000000.0,219100084.0,Dreamworks Pictures,128.0
Van Helsing,PG-13,Action,2004,"May 7, 2004 (United States)",6.1,251000.0,Stephen Sommers,Stephen Sommers,Hugh Jackman,United States,160000000.0,300157638.0,Universal Pictures,131.0
The Incredibles,PG,Animation,2004,"November 5, 2004 (United States)",8.0,673000.0,Brad Bird,Brad Bird,Craig T. Nelson,United States,92000000.0,631607053.0,Pixar Animation Studios,115.0
Saw,R,Horror,2004,"October 29, 2004 (United States)",7.6,391000.0,James Wan,Leigh Whannell,Cary Elwes,United States,1200000.0,103911669.0,Evolution Entertainment,103.0
Collateral,R,Crime,2004,"August 6, 2004 (United States)",7.5,373000.0,Michael Mann,Stuart Beattie,Tom Cruise,United States,65000000.0,220239925.0,Paramount Pictures,120.0
The Aviator,PG-13,Biography,2004,"December 25, 2004 (United States)",7.5,342000.0,Martin Scorsese,John Logan,Leonardo DiCaprio,United States,110000000.0,213719942.0,Forward Pass,170.0
Spider-Man 2,PG-13,Action,2004,"June 30, 2004 (United States)",7.3,559000.0,Sam Raimi,Stan Lee,Tobey Maguire,United States,200000000.0,788976453.0,Columbia Pictures,127.0
The Punisher,R,Action,2004,"April 16, 2004 (United States)",6.4,152000.0,Jonathan Hensleigh,Jonathan Hensleigh,Thomas Jane,United States,33000000.0,54700105.0,Lions Gate Films,124.0
"I, Robot",PG-13,Action,2004,"July 16, 2004 (United States)",7.1,509000.0,Alex Proyas,Jeff Vintar,Will Smith,United States,120000000.0,353133898.0,Twentieth Century Fox,115.0
Howl's Moving Castle,PG,Animation,2004,"June 17, 2005 (United States)",8.2,350000.0,Hayao Miyazaki,Hayao Miyazaki,Chieko Baishô,Japan,24000000.0,236214446.0,Buena Vista Home Entertainment,119.0
Million Dollar Baby,PG-13,Drama,2004,"January 28, 2005 (United States)",8.1,650000.0,Clint Eastwood,Paul Haggis,Hilary Swank,United States,30000000.0,216763646.0,Warner Bros.,132.0
Shaun of the Dead,R,Comedy,2004,"September 24, 2004 (United States)",7.9,525000.0,Edgar Wright,Simon Pegg,Simon Pegg,United Kingdom,,30097092.0,Universal Pictures,99.0
The Village,PG-13,Drama,2004,"July 30, 2004 (United States)",6.5,247000.0,M. Night Shyamalan,M. Night Shyamalan,Sigourney Weaver,United States,60000000.0,256697520.0,Touchstone Pictures,108.0
The Butterfly Effect,R,Drama,2004,"January 23, 2004 (United States)",7.6,460000.0,Eric Bress,J. Mackye Gruber,Ashton Kutcher,United States,13000000.0,96822421.0,BenderSpink,113.0
The Day After Tomorrow,PG-13,Action,2004,"May 28, 2004 (United States)",6.4,424000.0,Roland Emmerich,Roland Emmerich,Dennis Quaid,United States,125000000.0,552639571.0,Twentieth Century Fox,124.0
Layer Cake,R,Action,2004,"June 3, 2005 (United States)",7.3,171000.0,Matthew Vaughn,J.J. Connolly,Daniel Craig,United Kingdom,,11850214.0,Sony Pictures Classics,105.0
Napoleon Dynamite,PG,Comedy,2004,"August 27, 2004 (United States)",6.9,204000.0,Jared Hess,Jared Hess,Jon Heder,United States,400000.0,46138887.0,Fox Searchlight Pictures,96.0
50 First Dates,PG-13,Comedy,2004,"February 13, 2004 (United States)",6.8,335000.0,Peter Segal,George Wing,Adam Sandler,United States,75000000.0,198520934.0,Columbia Pictures,99.0
Man on Fire,R,Action,2004,"April 23, 2004 (United States)",7.7,336000.0,Tony Scott,A.J. Quinnell,Denzel Washington,United States,70000000.0,130834852.0,Fox 2000 Pictures,146.0
Downfall,R,Biography,2004,"April 8, 2005 (United States)",8.2,338000.0,Oliver Hirschbiegel,Bernd Eichinger,Bruno Ganz,Germany,,92181574.0,Constantin Film,156.0
13 Going on 30,PG-13,Comedy,2004,"April 23, 2004 (United States)",6.2,174000.0,Gary Winick,Josh Goldsmith,Jennifer Garner,United States,37000000.0,96455697.0,Revolution Studios,98.0
Shrek 2,PG,Animation,2004,"May 19, 2004 (United States)",7.2,431000.0,Andrew Adamson,William Steig,Mike Myers,United States,150000000.0,928760770.0,Dreamworks Pictures,93.0
Crash,R,Crime,2004,"May 6, 2005 (United States)",7.7,424000.0,Paul Haggis,Paul Haggis,Don Cheadle,United States,6500000.0,98410061.0,Bob Yari Productions,112.0
The Bourne Supremacy,PG-13,Action,2004,"July 23, 2004 (United States)",7.7,443000.0,Paul Greengrass,Robert Ludlum,Matt Damon,United States,75000000.0,290835269.0,Universal Pictures,108.0
